Video Number,Code,Format,Title,Drop Date,Status,Uploaded Date,Notes
001,80.V0B,Long,Health Info & Biology Baseline,2026-08-17,Uploaded,2026-07-26,Published
002,80.V0A,Long,230000 Patient Visits,2026-08-03,Uploaded,2026-07-26,Published
003,80.V1B1,Long,Exercise Optional (Movement Mandatory),2026-08-10,Uploaded,2026-07-26,Published
004,80.V0A1,Long,Systemized OS Framework,2026-08-24,In Production,,Currently Editing
005,80.V0B-S1,Short,Information Overload vs Implementation,2026-08-18,Planned,,Short 1 for V0B
006,80.V0B-S2,Short,Finding Your System Glitch,2026-08-20,Planned,,Short 2 for V0B
007,80.V0B-S3,Short,Doctor vs Coach: Rebuilding Baseline,2026-08-22,Planned,,Short 3 for V0B
008,80.V0A-S1,Short,Why Monday Health Resolutions Fail,2026-08-04,Planned,,Short 1 for V0A
009,80.V0A-S2,Short,The Biological Sequence of Change,2026-08-06,Planned,,Short 2 for V0A
010,80.V0A-S3,Short,Stop Treating Health Like an Emergency,2026-08-08,Planned,,Short 3 for V0A
011,80.V1B1-S1,Short,Why Exercise is Optional,2026-08-11,Planned,,Short 1 for V1B1
012,80.V1B1-S2,Short,Joint Imbibition: How Joints Eat,2026-08-13,Planned,,Short 2 for V1B1
013,80.V1B1-S3,Short,Cortical Smudging: Why Back Pain Spasms,2026-08-15,Planned,,Short 3 for V1B1
014,80.V0A1-S1,Short,The Willpower Trap,2026-08-25,Planned,,Short 1 for V0A1
015,80.V0A1-S2,Short,Level 1 FMR Baseline,2026-08-27,Planned,,Short 2 for V0A1
016,80.V0A1-S3,Short,The 3-Tier Health Pyramid,2026-08-29,Planned,,Short 3 for V0A1
