Video Number,Code,Format,Title,Drop Date,Status,Uploaded Date,Notes
001,80.V0B,Long,Knowledge Isn't Enough—Here's What Actually Works,2026-08-03,#published,2026-08-03,Published
002,80.V0A,Long,"20,000 Patients Taught Me This One Biological Reality",2026-08-03,#published,2026-08-03,Published
003,80.V1B1,Long,"Exercise is Optional, Movement is not.",2026-08-10,#published,2026-08-10,Published
004,80.V0A1,Long,Systemized OS Framework,2026-08-24,#published,2026-08-25,Currently Editing
005,80.V0B-S1,Short,Do Less to Get More,2026-08-04,#published,2026-08-04,6/6 Shots Filmed — Editing (#edit)
006,80.V0B-S2,Short,"Aim Smaller, Win Bigger #goals #success",2026-08-06,#published,2026-08-06,Pre-Recording Blueprint Ready
007,80.V0B-S3,Short,"Stop Trying to Fix Stress Backward (Fuel, Move, Rest First)",2026-08-08,#published,2026-08-08,Pre-Recording Blueprint Ready
008,80.V0A-S1,Short,Coffee Won't Fix Your Afternoon Crash #bloodsugar #over50,2026-08-06,#published,2026-08-18,6/6 Shots Filmed — Editing (#edit)
009,80.V0A-S2,Short,Why Chugging Water can Dehydrate you,2026-08-08,#published,2026-08-20,6/6 Shots Filmed — Editing (#edit)
010,80.V0A-S3,Short,Break a Sweat 3 Times a Week (Prevent Musculoskeletal Pain),2026-08-22,#published,2026-08-22,6/6 Shots Filmed — Editing (#edit)
011,80.V1B1-S1,Short,Why Exercise is Optional,2026-08-11,#published,2026-08-15,
012,80.V1B1-S2,Short,How do the Joints in your Body Stay Healthy? - Its not good bloodflow.,2026-08-13,#published,2026-08-13,Pre-Recording Blueprint Ready
013,80.V1B1-S3,Short,Cortical Smudging: A reason for Sudden Back Pain #backpain #tips,2026-08-15,#published,2026-08-15,Pre-Recording Blueprint Ready
014,80.V0A1-S1,Short,Why Relying on Willpower Guarantees Physical Burnout,2026-08-25,#published,2026-08-25,6/6 Shots Filmed — Editing (#edit)
015,80.V0A1-S2,Short,Prove it before you buy it - don’t fall for health gadgets,2026-08-27,#published,2026-08-27,6/6 Shots Filmed — Editing (#edit)
016,80.V0A1-S3,Short,This is why you aren't getting healthier #health #fitness #motivation,2026-08-29,#published,2026-08-29,6/6 Shots Filmed — Editing (#edit)
017,80.V1C1,Long,Biological Debt of Sleep,2026-08-31,#published,,
018,80.V1C1-S1,Short,Weekend Catch-Up Myth,2026-09-01,#published,,
019,80.V1C1-S2,Short,Brain Night Shift,2026-09-03,#published,,
020,80.V1C1-S3,Short,Caffeine Illusion,2026-09-05,#published,,
021,80.V1C2,Long,Fake Rest vs Nervous System Downtime,2026-09-07,#write,,
022,80.V1C2-S1,Short,Netflix Exhaustion,2026-09-08,#write,,
023,80.V1C2-S2,Short,Phone Scrolling Cost,2026-09-10,#write,,
024,80.V1C2-S3,Short,The Off Switch,2026-09-12,#write,,
025,80.V1C3,Long,Digestive Rest and Fasting,2026-09-14,#write,,
026,80.V1C3-S1,Short,Energy Cost of Digestion,2026-09-15,#write,,
027,80.V1C3-S2,Short,The Maintenance Window,2026-09-17,#write,,
028,80.V1C3-S3,Short,Fasting is not a diet,2026-09-19,#write,,
029,80.V1C4,Long,Cognitive Load and Ego Depletion,2026-09-21,#write,,
030,80.V1C4-S1,Short,Desk Job Exhaustion,2026-09-22,#write,,
031,80.V1C4-S2,Short,Decision Fatigue,2026-09-24,#write,,
032,80.V1C4-S3,Short,Protecting the Battery,2026-09-26,#write,,
033,80.V1A,Long,The Biological Cost of Fake Fuel,2026-08-17,#published,,
034,80.V1A-S1,Short,The Mid-Afternoon Crash,2026-08-18,#published,,
035,80.V1A-S2,Short,Cellular Hydration,2026-08-20,#published,,
036,80.V1A-S3,Short,The Biological Reality of Diets,2026-08-21,#published,2026-08-17,
H001,HIST.L01,Long,The Biological Requirement for Weekly Structure,2026-01-01,#published,2026-01-01,
H002,HIST.L02,Long,The Biological Reality of GLP-1: Fuel vs. Motivation,2026-03-24,#published,2026-03-24,
H003,HIST.L03,Long,The Nervous System Secret to Consistent Gains,2026-01-22,#published,2026-01-22,
H004,HIST.L04,Long,The Biological Cost of an Unstructured Week,2026-01-14,#published,2026-01-14,
H005,HIST.L05,Long,Decision Fatigue Is Destroying Your Productivity,2026-01-06,#published,2026-01-06,
H006,HIST.L06,Long,The real reason you're exhausted at 3pm,2026-08-17,#published,2026-08-17,
HS001,HIST.S01,Short,The Biological Prerequisite for Fasting,2026-04-03,#published,2026-04-03,
HS002,HIST.S02,Short,Start Running from ZERO,2026-02-07,#published,2026-02-07,
HS003,HIST.S03,Short,The Neurological Function of Clarity,2026-01-15,#published,2026-01-15,
HS004,HIST.S04,Short,The Biological Failure of Motivation,2026-01-08,#published,2026-01-08,
HS005,HIST.S05,Short,Why you have zero willpower left #productivity #psychology,2026-08-26,#published,2026-08-26,
HS006,HIST.S06,Short,The Lazy Way to Get Fit (It Actually Works) #shorts #fitness #hack,2026-08-11,#published,2026-08-11,
HS007,HIST.S07,Short,"Diets wont work, here's what does.",2026-08-21,#published,2026-08-21,
HS008,HIST.S08,Short,The Neurological Reality of Willpower,2026-01-07,#published,2026-01-07,
HS009,HIST.S09,Short,The Biological Minimum for Daily Steps,2026-03-23,#published,2026-03-23,
HS010,HIST.S10,Short,The Neurological Failure of Random Workouts,2026-01-20,#published,2026-01-20,
HS011,HIST.S11,Short,The Neurological Cost of GLP-1,2026-03-26,#published,2026-03-26,
HS012,HIST.S12,Short,The Biological Mandate for Recovery,2026-01-21,#published,2026-01-21,
HS013,HIST.S13,Short,The Biological Necessity of Weekly Structure,2026-01-13,#published,2026-01-13,
HS014,HIST.S14,Short,The Neurological Cost of Decision Fatigue,2026-01-16,#published,2026-01-16,
HS015,HIST.S15,Short,The Clinical Architecture of Anchor Habits,2026-01-09,#published,2026-01-09,
TBD,80.V0A-S3-B,Short,The Easiest Way to Eliminate Back Pain,2026-08-23,#published,,
