Code,Format,Drop Date,Level,Pillar
V2A,Short 2,09/17/2026,Level 2 (Inward),Thinking
V2A,Short 3,09/19/2026,Level 2 (Inward),Thinking
V3A,Long,09/21/2026,Level 3 (Outward),Play
V3A,Short 1,09/22/2026,Level 3 (Outward),Play
V3A,Short 2,09/24/2026,Level 3 (Outward),Play
V3A,Short 3,09/26/2026,Level 3 (Outward),Play
V3B,Long,09/28/2026,Level 3 (Outward),Organize
V3B,Short 1,09/29/2026,Level 3 (Outward),Organize
V3B,Short 2,10/01/2026,Level 3 (Outward),Organize
V3B,Short 3,10/03/2026,Level 3 (Outward),Organize
V4,Long,10/05/2026,Level 4 (Lab),User Discretion
V4,Short 1,10/06/2026,Level 4 (Lab),User Discretion
V4,Short 2,10/08/2026,Level 4 (Lab),User Discretion
V4,Short 3,10/10/2026,Level 4 (Lab),User Discretion
V1A,Long,10/12/2026,Level 1 (Foundational),Fuel
V1A,Short 1,10/13/2026,Level 1 (Foundational),Fuel
V1A,Short 2,10/15/2026,Level 1 (Foundational),Fuel
V1A,Short 3,10/17/2026,Level 1 (Foundational),Fuel
V1B,Long,10/19/2026,Level 1 (Foundational),Move
V1B,Short 1,10/20/2026,Level 1 (Foundational),Move
V1B,Short 2,10/22/2026,Level 1 (Foundational),Move
V1B,Short 3,10/24/2026,Level 1 (Foundational),Move
V2B,Long,10/26/2026,Level 2 (Inward),Learning
V2B,Short 1,10/27/2026,Level 2 (Inward),Learning
V2B,Short 2,10/29/2026,Level 2 (Inward),Learning
V2B,Short 3,10/31/2026,Level 2 (Inward),Learning
V4,Long,11/02/2026,Level 4 (Lab),User Discretion
V4,Short 1,11/03/2026,Level 4 (Lab),User Discretion
V4,Short 2,11/05/2026,Level 4 (Lab),User Discretion
V4,Short 3,11/07/2026,Level 4 (Lab),User Discretion
V2C,Long,11/09/2026,Level 2 (Inward),Connect
V2C,Short 1,11/10/2026,Level 2 (Inward),Connect
V2C,Short 2,11/12/2026,Level 2 (Inward),Connect
V2C,Short 3,11/14/2026,Level 2 (Inward),Connect
V3C,Long,11/16/2026,Level 3 (Outward),Purpose
V3C,Short 1,11/17/2026,Level 3 (Outward),Purpose
V3C,Short 2,11/19/2026,Level 3 (Outward),Purpose
V3C,Short 3,11/21/2026,Level 3 (Outward),Purpose
V3A,Long,11/23/2026,Level 3 (Outward),Play
V3A,Short 1,11/24/2026,Level 3 (Outward),Play
V3A,Short 2,11/26/2026,Level 3 (Outward),Play
V3A,Short 3,11/28/2026,Level 3 (Outward),Play
V1C,Long,11/30/2026,Level 1 (Foundational),Rest
V1C,Short 1,12/01/2026,Level 1 (Foundational),Rest
V1C,Short 2,12/03/2026,Level 1 (Foundational),Rest
V1C,Short 3,12/05/2026,Level 1 (Foundational),Rest
V4,Long,12/07/2026,Level 4 (Lab),User Discretion
V4,Short 1,12/08/2026,Level 4 (Lab),User Discretion
V4,Short 2,12/10/2026,Level 4 (Lab),User Discretion
V4,Short 3,12/12/2026,Level 4 (Lab),User Discretion
V1A,Long,12/14/2026,Level 1 (Foundational),Fuel
V1A,Short 1,12/15/2026,Level 1 (Foundational),Fuel
V1A,Short 2,12/17/2026,Level 1 (Foundational),Fuel
V1A,Short 3,12/19/2026,Level 1 (Foundational),Fuel
V2A,Long,12/21/2026,Level 2 (Inward),Thinking
V2A,Short 1,12/22/2026,Level 2 (Inward),Thinking
V2A,Short 2,12/24/2026,Level 2 (Inward),Thinking
V2A,Short 3,12/26/2026,Level 2 (Inward),Thinking
V2B,Long,12/28/2026,Level 2 (Inward),Learning
V2B,Short 1,12/29/2026,Level 2 (Inward),Learning
V2B,Short 2,12/31/2026,Level 2 (Inward),Learning
V2B,Short 3,01/02/2027,Level 2 (Inward),Learning
V4,Long,01/04/2027,Level 4 (Lab),User Discretion
V4,Short 1,01/05/2027,Level 4 (Lab),User Discretion
V4,Short 2,01/07/2027,Level 4 (Lab),User Discretion
V4,Short 3,01/09/2027,Level 4 (Lab),User Discretion
V3B,Long,01/11/2027,Level 3 (Outward),Organize
V3B,Short 1,01/12/2027,Level 3 (Outward),Organize
V3B,Short 2,01/14/2027,Level 3 (Outward),Organize
V3B,Short 3,01/16/2027,Level 3 (Outward),Organize
V3C,Long,01/18/2027,Level 3 (Outward),Purpose
V3C,Short 1,01/19/2027,Level 3 (Outward),Purpose
V3C,Short 2,01/21/2027,Level 3 (Outward),Purpose
V3C,Short 3,01/23/2027,Level 3 (Outward),Purpose
V1B,Long,01/25/2027,Level 1 (Foundational),Move
V1B,Short 1,01/26/2027,Level 1 (Foundational),Move
V1B,Short 2,01/28/2027,Level 1 (Foundational),Move
V1B,Short 3,01/30/2027,Level 1 (Foundational),Move
V4,Long,02/01/2027,Level 4 (Lab),User Discretion
V4,Short 1,02/02/2027,Level 4 (Lab),User Discretion
V4,Short 2,02/04/2027,Level 4 (Lab),User Discretion
V4,Short 3,02/06/2027,Level 4 (Lab),User Discretion
V1C,Long,02/08/2027,Level 1 (Foundational),Rest
V1C,Short 1,02/09/2027,Level 1 (Foundational),Rest
V1C,Short 2,02/11/2027,Level 1 (Foundational),Rest
V1C,Short 3,02/13/2027,Level 1 (Foundational),Rest
V2C,Long,02/15/2027,Level 2 (Inward),Connect
V2C,Short 1,02/16/2027,Level 2 (Inward),Connect
V2C,Short 2,02/18/2027,Level 2 (Inward),Connect
V2C,Short 3,02/20/2027,Level 2 (Inward),Connect
V2A,Long,02/22/2027,Level 2 (Inward),Thinking
V2A,Short 1,02/23/2027,Level 2 (Inward),Thinking
V2A,Short 2,02/25/2027,Level 2 (Inward),Thinking
V2A,Short 3,02/27/2027,Level 2 (Inward),Thinking
V4,Long,03/01/2027,Level 4 (Lab),User Discretion
V4,Short 1,03/02/2027,Level 4 (Lab),User Discretion
V4,Short 2,03/04/2027,Level 4 (Lab),User Discretion
V4,Short 3,03/06/2027,Level 4 (Lab),User Discretion
V3A,Long,03/08/2027,Level 3 (Outward),Play
V3A,Short 1,03/09/2027,Level 3 (Outward),Play
V3A,Short 2,03/11/2027,Level 3 (Outward),Play
V3A,Short 3,03/13/2027,Level 3 (Outward),Play
V3B,Long,03/15/2027,Level 3 (Outward),Organize
V3B,Short 1,03/16/2027,Level 3 (Outward),Organize
V3B,Short 2,03/18/2027,Level 3 (Outward),Organize
V3B,Short 3,03/20/2027,Level 3 (Outward),Organize
V1A,Long,03/22/2027,Level 1 (Foundational),Fuel
V1A,Short 1,03/23/2027,Level 1 (Foundational),Fuel
V1A,Short 2,03/25/2027,Level 1 (Foundational),Fuel
V1A,Short 3,03/27/2027,Level 1 (Foundational),Fuel
V1B,Long,03/29/2027,Level 1 (Foundational),Move
V1B,Short 1,03/30/2027,Level 1 (Foundational),Move
V1B,Short 2,04/01/2027,Level 1 (Foundational),Move
V1B,Short 3,04/03/2027,Level 1 (Foundational),Move
V4,Long,04/05/2027,Level 4 (Lab),User Discretion
V4,Short 1,04/06/2027,Level 4 (Lab),User Discretion
V4,Short 2,04/08/2027,Level 4 (Lab),User Discretion
V4,Short 3,04/10/2027,Level 4 (Lab),User Discretion
V2B,Long,04/12/2027,Level 2 (Inward),Learning
V2B,Short 1,04/13/2027,Level 2 (Inward),Learning
V2B,Short 2,04/15/2027,Level 2 (Inward),Learning
V2B,Short 3,04/17/2027,Level 2 (Inward),Learning
V2C,Long,04/19/2027,Level 2 (Inward),Connect
V2C,Short 1,04/20/2027,Level 2 (Inward),Connect
V2C,Short 2,04/22/2027,Level 2 (Inward),Connect
V2C,Short 3,04/24/2027,Level 2 (Inward),Connect
V3C,Long,04/26/2027,Level 3 (Outward),Purpose
V3C,Short 1,04/27/2027,Level 3 (Outward),Purpose
V3C,Short 2,04/29/2027,Level 3 (Outward),Purpose
V3C,Short 3,05/01/2027,Level 3 (Outward),Purpose
V4,Long,05/03/2027,Level 4 (Lab),User Discretion
V4,Short 1,05/04/2027,Level 4 (Lab),User Discretion
V4,Short 2,05/06/2027,Level 4 (Lab),User Discretion
V4,Short 3,05/08/2027,Level 4 (Lab),User Discretion
V3A,Long,05/10/2027,Level 3 (Outward),Play
V3A,Short 1,05/11/2027,Level 3 (Outward),Play
V3A,Short 2,05/13/2027,Level 3 (Outward),Play
V3A,Short 3,05/15/2027,Level 3 (Outward),Play
V1C,Long,05/17/2027,Level 1 (Foundational),Rest
V1C,Short 1,05/18/2027,Level 1 (Foundational),Rest
V1C,Short 2,05/20/2027,Level 1 (Foundational),Rest
V1C,Short 3,05/22/2027,Level 1 (Foundational),Rest
V1A,Long,05/24/2027,Level 1 (Foundational),Fuel
V1A,Short 1,05/25/2027,Level 1 (Foundational),Fuel
V1A,Short 2,05/27/2027,Level 1 (Foundational),Fuel
V1A,Short 3,05/29/2027,Level 1 (Foundational),Fuel
V2A,Long,05/31/2027,Level 2 (Inward),Thinking
V2A,Short 1,06/01/2027,Level 2 (Inward),Thinking
V2A,Short 2,06/03/2027,Level 2 (Inward),Thinking
V2A,Short 3,06/05/2027,Level 2 (Inward),Thinking
V4,Long,06/07/2027,Level 4 (Lab),User Discretion
V4,Short 1,06/08/2027,Level 4 (Lab),User Discretion
V4,Short 2,06/10/2027,Level 4 (Lab),User Discretion
V4,Short 3,06/12/2027,Level 4 (Lab),User Discretion
V2B,Long,06/14/2027,Level 2 (Inward),Learning
V2B,Short 1,06/15/2027,Level 2 (Inward),Learning
V2B,Short 2,06/17/2027,Level 2 (Inward),Learning
V2B,Short 3,06/19/2027,Level 2 (Inward),Learning
V3B,Long,06/21/2027,Level 3 (Outward),Organize
V3B,Short 1,06/22/2027,Level 3 (Outward),Organize
